Data,Polarity,Subjectivity
b'@C9Mang0 The Key &amp; Peele bunny/duck had the best lines imo',0.5,0.65
"b'Gonna get bodied for this, but...\n\nI think this looks bomb LOL\n\nI will try it day 1 and provide my findings to the\xe2\x80\xa6 https://t.co/NLYdLfecNA'",0.0,0.0
"b""RT @TLDoublelift: 10 years from now there's gonna be a lot of gamer dads telling people they could've gone pro if they tried""",0.0,0.0
b'they really got me a puff cake https://t.co/6JGUQHiV8y',0.0,0.0
b'Quick little birthday stream before FOOD \n\nhttps://t.co/DnzNKw06RN',0.0,0.0
b'@MaxKetchum_ so am I in this battle or what',0.0,0.0
"b'RT @LiquidHbox: As some of you may know, I\xe2\x80\x99m an avid vinyl collector. So for my birthday I acquired one my long-sought after \xe2\x80\x9cHoly Grails\xe2\x80\x9d.\xe2\x80\xa6'",0.25,1.0
b'@ErikDeArcos Dude....I wish',0.0,0.0
b'@moxie2D @TeamLiquid THIS IS SICK',-0.7142857142857143,0.8571428571428571
"b'RT @moxie2D: Happy bday @LiquidHbox \xf0\x9f\x8e\x81\xf0\x9f\x8e\x82\xf0\x9f\x8e\x89\nWas gonna throw in a crab and a cowboy hat for the memes, but it was looking beyond absurd and then\xe2\x80\xa6'",-0.5,1.0
"b'As some of you may know, I\xe2\x80\x99m an avid vinyl collector. So for my birthday I acquired one my long-sought after \xe2\x80\x9cHoly\xe2\x80\xa6 https://t.co/A8OcH3o3ws'",0.25,1.0
b'Streaming until I turn 26 at midnight \xf0\x9f\x8e\x82 \n\nCome and hang out + witness my trimmed beard and hair\n\nAlso ty\xe2\x80\xa6 https://t.co/icwzWfp5tS',0.0,0.0
b'there\xe2\x80\x99s nothing quite like a photographer who knows how to do their job incredibly. takes years of work and dedicat\xe2\x80\xa6 https://t.co/0k3U6RaVgZ',0.0,0.0
b'@Baer_Bill life has many doors',0.0,0.0
"b""I'm really turning 26 tomorrow\n\n\xf0\x9f\x98\xae\n\nAll things considered, not a bad run so far (in esports at least)\n\nmaybe I'll re\xe2\x80\xa6 https://t.co/Pf5lJAVKo9""",-0.2,1.0
b'The Post-Summit Stream. \n\nGoing Live now. \n\nhttps://t.co/bwcwFIln01 https://t.co/AVqwDp5bR1',0.13636363636363635,0.5
"b""update: he's a fan of the beard https://t.co/w8jPt7aNVN""",0.0,0.0
b'I need a cowboy juan emote before 7pm tonight\n\nfor....reasons',0.0,0.0
